question,variant,virtual_time,resolved_fraction,mean_unresolved_coverage_est
q4,mainline,23202.994,0.5000,0.0000
q4,mainline,23268.131,0.5000,0.0000
q4,mainline,23326.335,0.5000,0.0000
q4,mainline,23380.896,0.5000,0.0000
q4,mainline,23434.676,0.5000,0.0000
q4,mainline,23489.667,0.5500,0.0000
q4,mainline,23692.410,0.5500,0.0000
q4,mainline,23746.858,0.5500,0.0000
q4,mainline,23751.858,0.6000,0.0000
q4,mainline,23836.276,0.6000,0.0000
q4,mainline,24073.276,0.6000,0.0000
q4,mainline,24310.276,0.6000,0.0000
q4,mainline,24547.276,0.6000,0.0000
q4,mainline,24784.276,0.6000,0.0000
q4,mainline,25021.276,0.6000,0.0000
q4,mainline,25258.276,0.6000,0.0000
q4,mainline,25495.276,0.6000,0.0000
q4,mainline,25597.849,0.6000,0.0000
q4,mainline,25752.597,0.6000,0.0000
q4,mainline,25851.175,0.6000,0.0000
q4,mainline,25907.864,0.6000,0.0000
q4,mainline,25954.585,0.6500,0.0000
q4,mainline,26063.921,0.6500,0.0000
q4,mainline,26294.921,0.6500,0.0000
q4,mainline,26525.921,0.6500,0.0000
q4,mainline,26756.921,0.6500,0.0000
q4,mainline,26987.921,0.6500,0.0000
q4,mainline,27218.921,0.6500,0.0000
q4,mainline,27449.921,0.6500,0.0408
q4,mainline,27680.921,0.6500,0.0408
q4,mainline,27911.921,0.6500,0.0408
q4,mainline,28142.921,0.6500,0.0408
q4,mainline,28373.921,0.6500,0.0408
q4,mainline,28604.921,0.6500,0.0408
q4,mainline,28975.011,0.6500,0.0408
q4,mainline,29206.011,0.6500,0.0816
q4,mainline,29437.011,0.6500,0.0816
q4,mainline,29668.011,0.6500,0.0816
q4,mainline,29899.011,0.6500,0.0816
q4,mainline,30130.011,0.6500,0.0816
q4,mainline,30361.011,0.6500,0.0816
q4,mainline,30904.703,0.6500,0.0816
q4,mainline,31135.703,0.6500,0.0816
q4,mainline,31505.793,1.0000,
q4,a4_nearest_cert,119.000,0.0000,0.0000
q4,a4_nearest_cert,286.019,0.0000,0.0000
q4,a4_nearest_cert,292.019,0.0000,0.0000
q4,a4_nearest_cert,298.019,0.0000,0.0000
q4,a4_nearest_cert,460.039,0.0000,0.0000
q4,a4_nearest_cert,466.039,0.0000,0.0000
q4,a4_nearest_cert,632.723,0.0000,0.0000
q4,a4_nearest_cert,638.723,0.0000,0.0000
q4,a4_nearest_cert,903.323,0.0000,0.0000
q4,a4_nearest_cert,996.251,0.0000,0.0000
q4,a4_nearest_cert,1089.179,0.0000,0.0000
q4,a4_nearest_cert,1182.108,0.0000,0.0000
q4,a4_nearest_cert,1275.036,0.0000,0.0000
q4,a4_nearest_cert,1374.892,0.0000,0.0000
q4,a4_nearest_cert,1467.820,0.0000,0.0000
q4,a4_nearest_cert,1560.749,0.0000,0.0000
q4,a4_nearest_cert,1653.677,0.0000,0.0000
q4,a4_nearest_cert,1746.605,0.0000,0.0000
q4,a4_nearest_cert,1839.533,0.0000,0.0000
q4,a4_nearest_cert,1932.462,0.0000,0.0000
q4,a4_nearest_cert,2025.390,0.0000,0.0000
q4,a4_nearest_cert,2118.318,0.0000,0.0000
q4,a4_nearest_cert,2218.174,0.0000,0.0000
q4,a4_nearest_cert,2311.103,0.0000,0.0000
q4,a4_nearest_cert,2404.031,0.0000,0.0000
q4,a4_nearest_cert,2496.959,0.0000,0.0000
q4,a4_nearest_cert,2589.887,0.0000,0.0000
q4,a4_nearest_cert,2682.815,0.0000,0.0000
q4,a4_nearest_cert,2775.744,0.0000,0.0000
q4,a4_nearest_cert,2868.672,0.0000,0.0000
q4,a4_nearest_cert,2961.600,0.0000,0.0000
q4,a4_nearest_cert,3054.528,0.0000,0.0000
q4,a4_nearest_cert,3147.456,0.0000,0.0000
q4,a4_nearest_cert,3240.385,0.0000,0.0000
q4,a4_nearest_cert,3333.313,0.0000,0.0000
q4,a4_nearest_cert,3426.241,0.0000,0.0000
q4,a4_nearest_cert,3519.169,0.0000,0.0000
q4,a4_nearest_cert,3612.097,0.0000,0.0000
q4,a4_nearest_cert,3705.026,0.0000,0.0000
q4,a4_nearest_cert,3797.954,0.0000,0.0000
q4,a4_nearest_cert,3890.882,0.0000,0.0000
q4,a4_nearest_cert,3983.810,0.0000,0.0000
q4,a4_nearest_cert,4076.738,0.0000,0.0000
q4,a4_nearest_cert,4169.667,0.0000,0.0000
q4,a4_nearest_cert,4262.595,0.0000,0.0000
q4,a4_nearest_cert,4355.523,0.0000,0.0000
q4,a4_nearest_cert,4448.451,0.0000,0.0000
q4,a4_nearest_cert,4541.379,0.0000,0.0000
q4,a4_nearest_cert,4628.308,0.0000,0.0000
q4,a4_nearest_cert,4715.236,0.0000,0.0000
q4,a4_nearest_cert,4802.164,0.0000,0.0000
