policy,question,case_id,case_hash,case_seed,source_count,scenario,complete,verifier_all_ok,world_match,cleared_count,sources_total,clear_rate,t_per_source_s,T_total_virtual,T_move,T_measure,T_switch,T_clear,move_distance_m,n_measures,n_switches,n_clear_attempts,parameter_sha256,metrics_path,ledger_error_s,accepted
v2_final,q4,paper_q4_n10_s960010,d1a4e53a0b827ae62d623b532b77ab5d10c17699e4e4d6eb7f02f22fd4ed50eb,960010,10,mixed,True,True,True,10,10,1.0,561.0610443444559,5610.61044344456,3915.610443444559,1370.0,263.0,62.0,19578.0522172228,274,263,14,afdc6cdd1944b0f85ad1535a00539758f1b47104261f720693ac0ead3d2f31ad,runs/v2_final/q4/paper_q4_n10_s960010/metrics.json,-9.094947017729282e-13,True
v2_final,q4,paper_q4_n10_s960011,766d81fe94af0b07461fadce21001d3498e149dd464251863bbf8dd6544f916c,960011,10,mixed,True,True,True,10,10,1.0,567.7699205136619,5677.699205136619,3989.6992051366187,1375.0,260.0,53.0,19948.496025683093,275,260,11,afdc6cdd1944b0f85ad1535a00539758f1b47104261f720693ac0ead3d2f31ad,runs/v2_final/q4/paper_q4_n10_s960011/metrics.json,0.0,True
v2_final,q4,paper_q4_n10_s960012,703efdc7a86ef0638cbaa1e4565737490a0ad5e887ed7224cd42d4e47bae2adf,960012,10,mixed,True,True,True,10,10,1.0,586.613784441022,5866.137844410219,4094.137844410221,1445.0,274.0,53.0,20470.68922205111,289,274,11,afdc6cdd1944b0f85ad1535a00539758f1b47104261f720693ac0ead3d2f31ad,runs/v2_final/q4/paper_q4_n10_s960012/metrics.json,1.8189894035458565e-12,True
v2_final,q4,paper_q4_n10_s960013,2d87203b18352d2c739222e5b16af035235cf6914cf5b34691e429c40916c91b,960013,10,mixed,True,True,True,10,10,1.0,640.0998676292089,6400.998676292089,4445.998676292087,1600.0,302.0,53.0,22229.993381460434,320,302,11,afdc6cdd1944b0f85ad1535a00539758f1b47104261f720693ac0ead3d2f31ad,runs/v2_final/q4/paper_q4_n10_s960013/metrics.json,-1.8189894035458565e-12,True
v2_final,q4,paper_q4_n10_s960014,62fc1daef45c37c33faaab81b3ca9012ca0f078e7fb0911ed4ec97efddb421f1,960014,10,mixed,True,True,True,10,10,1.0,583.7143811493918,5837.143811493917,4175.1438114939165,1355.0,257.0,50.0,20875.71905746959,271,257,10,afdc6cdd1944b0f85ad1535a00539758f1b47104261f720693ac0ead3d2f31ad,runs/v2_final/q4/paper_q4_n10_s960014/metrics.json,-9.094947017729282e-13,True
v2_final,q4,paper_q4_n10_s960015,786e0a5748501bd13da2fb5fcf82c3ac6a7ff71e1830c44e7fc76fe4ae746aa5,960015,10,mixed,True,True,True,10,10,1.0,570.0608256139965,5700.608256139964,3926.6082561399658,1440.0,269.0,65.0,19633.041280699832,288,269,15,afdc6cdd1944b0f85ad1535a00539758f1b47104261f720693ac0ead3d2f31ad,runs/v2_final/q4/paper_q4_n10_s960015/metrics.json,9.094947017729282e-13,True
v2_final,q4,paper_q4_n10_s960016,289739bdb664f6ba8e2416d3709159e3e5bfb90814c6d43081ebae655f341b30,960016,10,mixed,True,True,True,10,10,1.0,586.0097432508691,5860.097432508691,4146.09743250869,1395.0,269.0,50.0,20730.48716254345,279,269,10,afdc6cdd1944b0f85ad1535a00539758f1b47104261f720693ac0ead3d2f31ad,runs/v2_final/q4/paper_q4_n10_s960016/metrics.json,-9.094947017729282e-13,True
v2_final,q4,paper_q4_n10_s960017,8eec67759a34add255ee4e92aef60de171d284d6d00cd8815965b7338fb036e4,960017,10,mixed,True,True,True,10,10,1.0,552.4628754785329,5524.628754785328,3910.6287547853276,1315.0,249.0,50.0,19553.14377392664,263,249,10,afdc6cdd1944b0f85ad1535a00539758f1b47104261f720693ac0ead3d2f31ad,runs/v2_final/q4/paper_q4_n10_s960017/metrics.json,0.0,True
v2_final,q4,paper_q4_n10_s960018,1147536cb66cc757feeea7b44096f960a97bf1f5905e68d35788554b1c6d15a0,960018,10,mixed,True,True,True,10,10,1.0,605.9265091674672,6059.2650916746725,4271.2650916746725,1465.0,273.0,50.0,21356.32545837336,293,273,10,afdc6cdd1944b0f85ad1535a00539758f1b47104261f720693ac0ead3d2f31ad,runs/v2_final/q4/paper_q4_n10_s960018/metrics.json,0.0,True
v2_final,q4,paper_q4_n10_s960019,cf55d3f4e09f53fbb973530d6dd48121c475c525c9101a3c94703aad60256cf0,960019,10,mixed,True,True,True,10,10,1.0,612.6068205806915,6126.068205806915,4317.068205806916,1475.0,278.0,56.0,21585.341029034575,295,278,12,afdc6cdd1944b0f85ad1535a00539758f1b47104261f720693ac0ead3d2f31ad,runs/v2_final/q4/paper_q4_n10_s960019/metrics.json,9.094947017729282e-13,True
